sample_track,model_id,target_id,horizon,observation_count,origin_start,origin_end,rmse,mae,mase,mean_error
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,unemployment_rate,2,52,2010Q2,2025Q1,0.6028093906128467,0.4232208419157483,1.4051033459342435,-0.08120934160525389
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,unemployment_rate,4,50,2010Q2,2024Q3,1.1592807595823258,0.7834049634908652,2.621788755879569,-0.07326319740522635
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,unemployment_rate,8,46,2010Q2,2023Q3,3.3547001401002983,1.8090106100566334,5.953826958396815,-0.1817383711536746
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,unemployment_rate,12,42,2010Q2,2022Q3,8.209651212233878,3.108385999438843,9.934713848989539,-0.44393328823547484
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,1,53,2010Q2,2025Q2,0.30237132117536647,0.23783614255007737,0.8532962678157227,0.023495281327281792
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,2,52,2010Q2,2025Q1,0.6720967450919364,0.4976302900407961,1.7656759124411028,0.09132499711396114
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,4,50,2010Q2,2024Q3,1.3200525334982425,0.9403367087706909,3.338550481892586,0.3366752976715424
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,8,46,2010Q2,2023Q3,2.089021779664664,1.4496686392824065,4.958730818097163,0.44788787552644904
abm_pandemic_masked_common_cells,beforeit_var_p2_constant,effective_federal_funds_rate,12,42,2010Q2,2022Q3,2.9532048195771954,2.023156219715502,7.350866440860645,0.14778977564952117
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,real_gdp,1,53,2010Q2,2025Q2,4.052751329743401,2.6816304254311705,1.0478486881412246,0.7736966471303347
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,real_gdp,2,52,2010Q2,2025Q1,4.040991119675102,2.802580100731398,1.094093377876951,0.925572416080126
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,real_gdp,4,50,2010Q2,2024Q3,3.616068213001806,2.335242557283259,0.8946018353965567,0.8366299730973289
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,real_gdp,8,46,2010Q2,2023Q3,28.60242201187072,8.186474629888904,3.096515283006645,3.3440887790534823
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,real_gdp,12,42,2010Q2,2022Q3,303.37758711547485,52.36760694616673,16.852492141581678,48.18822119627877
abm_pandemic_masked_common_cells,beforeit_var_p3_constant,gdp_deflator,1,53,2010Q2,2025Q2,1.30396599528638,1.0292542640833127,1.3803194689675646,0.3391402021196536
