variant,origin,path,quarter,utilization,capacity_index,book_capital,unemployment_rate,annualized_real_growth
headline_v3,2016Q4,6,9,0.8593674581449926,9.96160693941823e6,5.674822639675914e7,3.5596933187294635,2.941296647234992
headline_v3,2016Q4,6,10,0.8619229165992579,1.0000618626584105e7,5.6748227743964195e7,3.3953997809419496,2.7222385750725664
headline_v3,2016Q4,6,11,0.8599200361349643,1.0039782826860668e7,5.6748227743964195e7,3.5596933187294635,0.6263383447503656
headline_v3,2016Q4,6,12,0.8604960280701281,1.0079100493201919e7,5.6748228210990906e7,3.5049288061336252,1.8434798993766321
headline_v3,2016Q4,6,13,0.8540588847762435,1.011857204241929e7,5.6748228210990906e7,4.16210295728368,-1.4537432113975512
headline_v3,2016Q4,6,14,0.865955731210858,1.0158198905258648e7,5.674823191440303e7,3.0668127053669223,7.12287122798827
headline_v3,2016Q4,6,15,0.8685546316680848,1.0197980217918359e7,5.674823191440303e7,2.628696604600219,2.6946727017744365
headline_v3,2016Q4,6,16,0.8722326942283793,1.0237918232505467e7,5.674823833997095e7,2.135815991237678,3.242895503466059
headline_v3,2016Q4,6,17,0.8750329945370535,1.0278012660038445e7,5.674825513280766e7,1.8072289156626506,2.90243186727821
headline_v3,2016Q4,6,18,0.8818402547356607,1.031830572152089e7,5.674852528030442e7,1.2595837897042717,4.670356275851617
headline_v3,2016Q4,6,19,0.8926293157733816,1.0358742929575704e7,5.674867617037336e7,0.3833515881708653,6.33318658199542
headline_v3,2016Q4,6,20,0.8901305287443478,1.0399366870371439e7,5.674917013609886e7,0.547645125958379,0.3092381398936084
headline_v3,2016Q4,6,21,0.8910168948288586,1.0440249471544323e7,5.675004739835934e7,0.6024096385542169,1.8939464513522353
headline_v3,2016Q4,6,22,0.8975399572299194,1.0481724100133296e7,5.675263437711216e7,0.0,4.558515044012523
headline_v3,2016Q4,6,23,0.9030608564969225,1.0523865313487224e7,5.675714232232339e7,0.0,3.9593289293392786
headline_v3,2016Q4,6,24,0.9045600067918703,1.0565825026936382e7,5.676001804739788e7,0.0,2.231780609267986
headline_v3,2016Q4,7,0,0.8500000000000001,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v3,2016Q4,7,1,0.8529379210350329,9.654942544890992e6,5.6748216335999995e7,3.669222343921139,2.9320944664512183
headline_v3,2016Q4,7,2,0.8568083855652899,9.692753016183404e6,5.6748216335999995e7,3.5049288061336252,3.3896354411005802
headline_v3,2016Q4,7,3,0.8697415648114795,9.73071156000268e6,5.6748216335999995e7,2.5191675794085433,7.444807013775545
headline_v3,2016Q4,7,4,0.8648225005160131,9.768818756227158e6,5.6748216335999995e7,3.176341730558598,-0.7096786390086152
headline_v3,2016Q4,7,5,0.880638558505552,9.80707536653005e6,5.674821664675392e7,1.04052573932092,8.87512533362198
headline_v3,2016Q4,7,6,0.8921680606704953,9.845482528501393e6,5.674821821840526e7,0.21905805038335158,6.575304108876168
headline_v3,2016Q4,7,7,0.8844172489520213,9.884039188240485e6,5.674821821840526e7,0.9857612267250822,-1.9910344033228
headline_v3,2016Q4,7,8,0.880804075370429,9.922747468680808e6,5.67482214428125e7,1.4238773274917853,-0.1037680084159831
headline_v3,2016Q4,7,9,0.8896829633361659,9.96160857089075e6,5.67482304912282e7,0.43811610076670315,5.5259737881094395
headline_v3,2016Q4,7,10,0.8944545301465037,1.0000621815619279e7,5.674823874672243e7,0.0,3.642344458971536
headline_v3,2016Q4,7,11,0.8901404079140249,1.0039786300749276e7,5.6748240133338496e7,0.054764512595837894,-0.48309236495853725
headline_v3,2016Q4,7,12,0.8859268404590266,1.0079104319508962e7,5.6748242648689e7,0.4928806133625411,-0.433888232289803
headline_v3,2016Q4,7,13,0.8922455702091565,1.011861108780792e7,5.674852150970623e7,0.21905805038335158,4.302269385155455
headline_v3,2016Q4,7,14,0.8881900872226938,1.0158298804531492e7,5.674891493049902e7,0.4928806133625411,-0.33032174311742324
headline_v3,2016Q4,7,15,0.8840569444821357,1.0198081136167023e7,5.674891764776698e7,0.9309967141292442,-0.24801343300140388
headline_v3,2016Q4,7,16,0.8920110914448747,1.0238096224725477e7,5.674933365602818e7,0.0,5.28374950911541
headline_v3,2016Q4,7,17,0.9005528642492776,1.0278600339879513e7,5.6751508425468355e7,0.0,5.366414035116662
headline_v3,2016Q4,7,18,0.9137529319027685,1.0320301019909672e7,5.675647649169667e7,0.0,7.514054439647566
headline_v3,2016Q4,7,19,0.9149620017318253,1.0361365067192916e7,5.675866984697891e7,0.0,1.7888007221088742
headline_v3,2016Q4,7,20,0.9155249900442609,1.0402391487128295e7,5.676077819477306e7,0.0,1.7220768231901218
headline_v3,2016Q4,7,21,0.9186259012208353,1.0444393186601477e7,5.676553284166899e7,0.0,2.962573707416283
headline_v3,2016Q4,7,22,0.9193992815100969,1.048547384856477e7,5.6766418405445844e7,0.0,1.9501109619135093
headline_v3,2016Q4,7,23,0.9225838603232602,1.0529038847684108e7,5.677586066128108e7,0.0,2.9067156890711487
headline_v3,2016Q4,7,24,0.9263647684938858,1.0570863628931884e7,5.6777562261467576e7,0.0,3.2081448634947662
headline_v3,2016Q4,8,0,0.85,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v3,2016Q4,8,1,0.852637621829345,9.654942544890994e6,5.6748216335999995e7,3.723986856516977,2.7923257693316827
headline_v3,2016Q4,8,2,0.8482350750641624,9.692753016183404e6,5.6748216335999995e7,3.888280394304491,-0.5856962129712429
headline_v3,2016Q4,8,3,0.8507724183029365,9.73071156000268e6,5.6748216335999995e7,3.9430449069003286,2.798016978558593
headline_v3,2016Q4,8,4,0.8537957643027247,9.768818756227154e6,5.6748216335999995e7,3.888280394304491,2.9377987871534117
headline_v3,2016Q4,8,5,0.8521336530135429,9.807075187006079e6,5.6748216335999995e7,4.052573932092004,0.7508944931508665
headline_v3,2016Q4,8,6,0.8578990318784129,9.84548143676849e6,5.6748216335999995e7,3.669222343921139,4.304868488322455
headline_v3,2016Q4,8,7,0.8630873717721307,9.884038092232158e6,5.6748216335999995e7,3.0668127053669223,3.8460814063434157
headline_v3,2016Q4,8,8,0.8597952491229046,9.922745742412552e6,5.6748216335999995e7,3.723986856516977,-0.06072546608990592
headline_v3,2016Q4,8,9,0.8655870000491863,9.96160497863182e6,5.6748216335999995e7,2.8477546549835706,4.194455974028699
headline_v3,2016Q4,8,10,0.8708766315249861,1.000061900371754e7,5.674822967148045e7,2.3548740416210294,3.866899518146738
headline_v3,2016Q4,8,11,0.8816920044483387,1.0039783514161732e7,5.674823124303377e7,1.588170865279299,6.37981363090887
headline_v3,2016Q4,8,12,0.885461447969069,1.0079103018205391e7,5.674824449638903e7,1.04052573932092,3.1517324168795824
headline_v3,2016Q4,8,13,0.886087488539984,1.0118574853684925e7,5.674824589246009e7,0.8214676889375685,1.8335701575736607
headline_v3,2016Q4,8,14,0.8778312397103474,1.0158200991515007e7,5.674824589246009e7,1.9167579408543265,-2.0981662031921644
headline_v3,2016Q4,8,15,0.8809319364590609,1.01979828683395e7,5.674824867913523e7,1.5334063526834611,2.9980008676247394
headline_v3,2016Q4,8,16,0.8764480150420153,1.0237923174129056e7,5.6748257826028965e7,2.08105147864184,-0.5065834532324232
headline_v3,2016Q4,8,17,0.8910087955095073,1.02781062210907e7,5.674895549072124e7,0.32858707557502737,8.1434279251404
headline_v3,2016Q4,8,18,0.886574846332948,1.031836188798425e7,5.674901432805974e7,0.8214676889375685,-0.45771145896509324
headline_v3,2016Q4,8,19,0.8834873906605174,1.0358784557182513e7,5.674911545442186e7,1.3143483023001095,0.1621548569929132
headline_v3,2016Q4,8,20,0.8858884760103929,1.039938560078441e7,5.674949450094652e7,0.9309967141292442,2.731386650650336
headline_v3,2016Q4,8,21,0.8875150932149259,1.0440236744103901e7,5.675031424566719e7,0.7667031763417306,2.265713947564052
headline_v3,2016Q4,8,22,0.8956492183396862,1.048162298684431e7,5.675251542722921e7,0.0,5.3100354978965925
headline_v3,2016Q4,8,23,0.889074029745474,1.0522789862383556e7,5.6752987899391934e7,0.6571741511500547,-1.4044034032160368
headline_v3,2016Q4,8,24,0.8961007756497378,1.0564902959192764e7,5.675598739746766e7,0.0,4.714034703559378
headline_v3,2016Q4,9,0,0.85,9.617279568509158e6,5.6748216335999995e7,3.723986856516977,NaN
headline_v3,2016Q4,9,1,0.8562652829694456,9.654942544890994e6,5.6748216335999995e7,3.5049288061336252,4.4979128501836385
headline_v3,2016Q4,9,2,0.8552327158978633,9.692753016183402e6,5.6748216335999995e7,3.6144578313253013,1.0697894070943903
headline_v3,2016Q4,9,3,0.8508121865799808,9.73071156000268e6,5.6748216335999995e7,3.833515881708653,-0.5358154617319144
headline_v3,2016Q4,9,4,0.8427715514724037,9.768818756227154e6,5.6748216335999995e7,4.16210295728368,-2.196506497917028
headline_v3,2016Q4,9,5,0.8336591484143379,9.807075187006079e6,5.6748216335999995e7,4.983570646221248,-2.5125085619485787
headline_v3,2016Q4,9,6,0.8346228374100968,9.845481436768489e6,5.6748216335999995e7,4.709748083242059,2.131579618956181
headline_v3,2016Q4,9,7,0.8385894270451814,9.88403809223216e6,5.6748216335999995e7,4.326396495071194,3.2166505549142244
headline_v3,2016Q4,9,8,0.8474734442638863,9.922745742412552e6,5.6748216335999995e7,3.833515881708653,5.676778938948246
